Column1;State;Year;Rape;Kidnap and assault;Dowry deaths;Assault on women;Assault on modesty;Domestic violence;Women trafficking;Population;;;;;;;;;;;
0;Andhra Pradesh;2001;871;765;420;3544;2271;5791;7;7621000;;;;;;;;;;;
1;Arunachal Pradesh;2001;33;55;0;78;3;11;0;1098000;;;;;;;;;;;
2;Assam;2001;817;1070;59;850;4;1248;0;26656000;;;;;;;;;;;
3;Bihar;2001;888;518;859;562;21;1558;83;82999000;;;;;;;;;;;
4;Chhattisgarh;2001;959;171;70;1763;161;840;0;20834000;;;;;;;;;;;
5;Goa;2001;12;6;2;17;7;11;0;1348000;;;;;;;;;;;
6;Gujarat;2001;286;857;67;756;111;3667;0;50671000;;;;;;;;;;;
7;Haryana;2001;398;297;285;478;401;1513;0;21145000;;;;;;;;;;;
8;Himachal Pradesh;2001;124;105;10;310;14;317;0;6078000;;;;;;;;;;;
9;Jammu & Kashmir;2001;169;504;13;622;288;50;0;10144000;;;;;;;;;;;
10;Jharkhand;2001;567;279;217;297;5;484;2;26946000;;;;;;;;;;;
11;Karnataka;2001;293;271;220;1665;81;1755;0;52851000;;;;;;;;;;;
12;Kerala;2001;562;97;27;1942;81;2561;0;31841000;;;;;;;;;;;
13;Madhya Pradesh;2001;2851;668;609;7063;751;2562;0;60348000;;;;;;;;;;;
14;Maharashtra;2001;1302;611;308;2823;1120;6090;1;96879000;;;;;;;;;;;
15;Manipur;2001;20;62;0;21;0;5;0;2294000;;;;;;;;;;;
16;Meghalaya;2001;26;11;0;25;0;4;0;2319000;;;;;;;;;;;
17;Mizoram;2001;52;1;0;52;0;16;3;889000;;;;;;;;;;;
18;Nagaland;2001;17;6;0;6;0;0;0;1990000;;;;;;;;;;;
19;Odisha;2001;790;434;294;1655;458;1266;0;36805000;;;;;;;;;;;
20;Punjab;2001;298;324;159;372;47;1128;0;24359000;;;;;;;;;;;
21;Rajasthan;2001;1049;2165;376;2878;56;5532;1;56507000;;;;;;;;;;;
22;Sikkim;2001;8;2;0;0;14;0;0;541000;;;;;;;;;;;
23;Tamil Nadu;2001;423;607;191;1773;1012;815;14;62406000;;;;;;;;;;;
24;Telangana;2001;;;;;;;;;;;;;;;;;;;
25;Tripura;2001;102;35;16;58;0;227;0;3199000;;;;;;;;;;;
26;Uttar Pradesh;2001;1958;2879;2211;2870;2575;7365;0;166198000;;;;;;;;;;;
27;Uttarakhand;2001;74;126;56;103;84;301;0;8489000;;;;;;;;;;;
28;West Bengal;2001;709;695;265;954;48;3859;3;80176000;;;;;;;;;;;
29;Andaman & Nicobar;2001;3;2;0;19;1;9;0;356000;;;;;;;;;;;
30;Chandigarh;2001;18;50;3;24;15;36;0;901000;;;;;;;;;;;
31;Dadra and Nagar Haveli and Daman and Diu;2001;6;5;0;7;0;8;0;220000;;;;;;;;;;;
32;Delhi;2001;381;964;113;502;90;138;0;13851000;;;;;;;;;;;
33;Lakshadweep;2001;0;0;0;0;0;0;0;61000;;;;;;;;;;;
34;Puducherry;2001;9;3;1;35;27;3;0;974000;;;;;;;;;;;
35;Andhra Pradesh;2002;1002;854;449;3799;2024;7018;0;76397181;;;;;;;;;;;
36;Arunachal Pradesh;2002;38;38;0;68;2;13;0;1126600;;;;;;;;;;;
37;Assam;2002;970;1276;70;984;7;1694;0;27111000;;;;;;;;;;;
